SaleID,CustomerID,ProductID,Quantity,SaleDate,Price,TotalSaleAmount
1,37,161,1,2025-07-18,13.4,13.4
2,162,29,2,2025-01-17,885.39,1770.78
3,416,38,1,2023-02-02,497.2,497.2
4,297,121,3,2024-03-12,174.73,524.19
5,112,60,2,2024-07-24,1481.35,2962.7
6,499,17,3,2023-01-24,1506.63,4519.89
7,218,15,1,2023-03-14,594.52,594.52
8,417,61,4,2025-11-08,1317.99,5271.96
9,139,6,2,2025-08-24,110.67,221.34
10,89,47,7,2023-04-14,1891.97,13243.79
11,300,70,1,2024-04-11,1009.1,1009.1
12,416,22,5,2025-10-02,536.66,2683.3
13,474,53,1,2025-11-08,108.91,108.91
14,153,175,1,2023-09-15,20.91,20.91
15,400,3,3,2023-02-19,971.68,2915.04
16,458,52,3,2025-07-17,554.08,1662.24
17,105,199,3,2025-02-12,29.53,88.59
18,128,28,1,2025-10-30,1359.26,1359.26
19,80,2,3,2023-09-15,587.77,1763.31
20,193,65,1,2024-01-19,544.28,544.28
21,93,106,3,2024-08-15,331.26,993.78
22,165,64,3,2024-02-18,1928.77,5786.31
23,37,170,2,2024-01-29,29.41,58.82
24,55,158,2,2023-12-06,159.68,319.36
25,488,48,3,2025-12-27,1350.27,4050.81
26,211,3,4,2025-10-05,991.96,3967.84
27,299,17,7,2023-04-19,1513.49,10594.43
28,422,143,4,2024-11-21,147.89,591.56
29,420,158,1,2025-06-08,182.99,182.99
30,232,196,2,2023-07-23,26.97,53.94
31,385,196,3,2024-07-16,28.83,86.49
32,207,167,1,2024-09-17,44.66,44.66
33,398,130,1,2024-12-13,97.29,97.29
34,280,158,1,2025-09-08,169.36,169.36
35,156,87,1,2024-10-15,410.22,410.22
36,171,75,6,2023-10-03,631.99,3791.94
37,399,28,2,2025-02-10,1522.92,3045.84
38,192,117,5,2023-10-30,376.83,1884.15
39,406,118,1,2025-10-02,306.19,306.19
40,399,155,8,2024-05-19,93.86,750.88
41,140,64,2,2025-05-12,1686.8,3373.6
42,425,43,3,2023-02-05,791.68,2375.04
43,259,119,7,2025-09-25,716.62,5016.34
44,397,15,2,2025-10-03,556.36,1112.72
45,60,148,10,2025-11-27,145.04,1450.4
46,336,180,1,2024-11-19,18.43,18.43
47,478,5,1,2024-09-17,1187.11,1187.11
48,147,141,1,2025-01-31,62.27,62.27
49,139,32,6,2024-05-24,1690.09,10140.54
50,446,182,1,2023-01-05,12.66,12.66
51,245,20,9,2023-08-16,1174.44,10569.96
52,346,81,7,2024-07-07,263.98,1847.86
53,413,28,2,2023-12-23,1539.45,3078.9
54,263,114,3,2024-07-30,191.97,575.91
55,10,186,5,2025-04-17,34.72,173.6
56,203,197,5,2024-05-14,37.09,185.45
57,346,114,4,2023-09-07,168.34,673.36
58,465,115,6,2024-10-30,93.37,560.22
59,67,112,2,2023-08-06,988.06,1976.12
60,116,101,3,2025-04-10,503.68,1511.04
61,120,53,3,2024-11-14,109.46,328.38
62,65,77,3,2023-11-23,905.5,2716.5
63,104,166,1,2024-07-26,42.72,42.72
64,276,45,7,2023-07-12,1400.56,9803.92
65,333,57,4,2025-08-26,385.52,1542.08
66,125,102,1,2023-11-21,320.97,320.97
67,26,130,7,2024-01-10,106.68,746.76
68,277,7,1,2024-01-13,1885.53,1885.53
69,146,151,3,2025-09-04,162.56,487.68
70,326,42,1,2024-05-02,735.39,735.39
71,66,144,3,2024-12-07,214.62,643.86
72,326,57,1,2024-04-18,396.97,396.97
73,301,87,2,2023-03-18,420.91,841.82
74,55,92,3,2023-03-13,735.83,2207.49
75,432,177,1,2025-08-19,38.0,38.0
76,411,2,1,2025-08-27,559.96,559.96
77,497,169,6,2024-04-19,39.2,235.2
78,360,81,2,2025-10-27,247.87,495.74
79,73,43,1,2023-03-09,800.69,800.69
80,475,23,5,2023-03-13,197.03,985.15
81,54,93,4,2023-06-20,733.14,2932.56
82,10,65,2,2025-07-07,468.16,936.32
83,412,116,1,2024-02-27,63.93,63.93
84,15,33,2,2024-05-31,1901.46,3802.92
85,129,28,2,2024-11-26,1529.12,3058.24
86,69,125,1,2025-08-07,98.34,98.34
87,206,15,7,2025-12-25,590.98,4136.86
88,473,20,1,2025-09-29,1036.81,1036.81
89,330,80,1,2025-06-13,855.69,855.69
90,180,175,9,2024-09-18,23.13,208.17
91,37,195,8,2025-12-23,32.98,263.84
92,295,29,2,2024-07-30,882.72,1765.44
93,199,174,1,2024-04-20,13.27,13.27
94,48,173,2,2023-06-01,12.45,24.9
95,123,140,4,2023-12-17,162.79,651.16
96,173,87,3,2025-03-08,388.99,1166.97
97,311,25,5,2024-08-12,562.49,2812.45
98,130,152,1,2023-09-23,51.64,51.64
99,1,184,9,2024-05-29,1.94,17.46
100,104,83,3,2025-09-16,801.17,2403.51
101,369,141,6,2024-07-26,61.43,368.58
102,356,47,1,2023-05-03,1838.53,1838.53
103,255,8,9,2025-12-16,850.79,7657.11
104,166,53,1,2025-11-03,112.8,112.8
105,493,78,3,2025-06-03,438.17,1314.51
106,334,182,1,2024-01-19,13.66,13.66
107,250,88,2,2023-05-02,629.26,1258.52
108,210,36,2,2025-10-26,765.41,1530.82
109,176,87,1,2023-02-23,435.43,435.43
110,202,70,2,2023-07-02,889.77,1779.54
111,366,159,1,2023-07-28,119.05,119.05
112,143,78,1,2023-07-22,483.67,483.67
113,344,52,1,2023-06-04,528.23,528.23
114,248,136,1,2025-03-25,117.16,117.16
115,415,198,2,2025-02-25,38.69,77.38
116,72,179,1,2025-05-03,6.59,6.59
117,270,55,3,2024-10-06,442.3,1326.9
118,299,161,10,2025-11-20,11.91,119.1
119,423,59,4,2023-03-13,950.22,3800.88
120,422,104,1,2025-07-12,265.75,265.75
121,249,49,2,2025-07-26,139.73,279.46
122,279,50,8,2023-01-23,1172.84,9382.72
123,236,135,3,2024-10-16,193.79,581.37
124,148,131,1,2024-02-16,71.14,71.14
125,134,137,1,2024-03-21,122.68,122.68
126,120,78,2,2023-09-24,450.23,900.46
127,276,83,2,2024-08-18,762.11,1524.22
128,207,115,6,2023-02-17,84.9,509.4
129,123,95,1,2025-08-29,929.78,929.78
130,398,190,3,2024-12-15,20.63,61.89
131,160,1,3,2024-07-23,959.56,2878.68
132,488,30,3,2025-02-12,1403.98,4211.94
133,298,17,2,2023-11-27,1489.6,2979.2
134,246,47,4,2024-10-31,1859.19,7436.76
135,237,10,1,2024-03-10,592.17,592.17
136,285,86,1,2024-06-28,873.63,873.63
137,173,112,6,2023-06-01,1027.44,6164.64
138,204,128,3,2024-07-18,195.59,586.77
139,491,72,2,2024-09-04,733.79,1467.58
140,159,177,3,2023-12-10,38.73,116.19
141,409,76,2,2025-06-28,358.52,717.04
142,317,169,3,2025-10-09,43.6,130.8
143,497,108,5,2024-12-22,68.43,342.15
144,128,139,1,2024-09-26,43.64,43.64
145,297,32,6,2023-09-17,1756.98,10541.88
146,293,57,7,2025-08-12,378.22,2647.54
147,284,15,1,2024-11-15,551.67,551.67
148,179,38,2,2024-01-30,510.97,1021.94
149,450,131,2,2024-12-31,83.9,167.8
150,418,7,2,2024-05-13,2081.04,4162.08
151,101,84,1,2023-08-23,540.57,540.57
152,454,182,2,2024-12-14,13.86,27.72
153,414,81,10,2023-04-27,273.72,2737.2
154,498,39,2,2024-01-09,1015.3,2030.6
155,278,76,1,2025-08-25,308.49,308.49
156,229,58,1,2024-02-24,1754.27,1754.27
157,167,119,3,2025-06-06,783.68,2351.04
158,379,42,4,2025-10-24,709.63,2838.52
159,136,92,3,2023-05-30,724.57,2173.71
160,239,183,7,2025-08-21,49.45,346.15
161,335,115,3,2023-01-14,87.37,262.11
162,348,91,2,2023-01-19,805.08,1610.16
163,5,80,2,2025-05-04,918.47,1836.94
164,266,97,3,2025-08-01,195.67,587.01
165,474,180,2,2024-09-20,19.85,39.7
166,208,72,3,2025-02-05,737.7,2213.1
167,14,135,3,2025-03-15,185.28,555.84
168,239,54,2,2023-02-22,1082.93,2165.86
169,387,13,7,2023-01-12,95.83,670.81
170,488,144,1,2023-03-02,180.89,180.89
